docno	SMILES
55	C**C(C)(C)\C=C\C#CB1[N@]2(*)CC*11=CCC=C1C2
56	CC.CC.CC.CC.CCC.C*C.CC(C)C=C.CC[C@@H](*C)*(C)(C)(C)(C)[B](C)(C)CC*C
57	CC.CC.C\C=C\C=C.C*(C)(C)(C)(C)C.CC*(C)CCC=*C
58	CC.CC.CC.CC.CC.CC.CC.C=C.CCC.CC*.CCCC(C)(C)C.CCC*(C)(C)(C)CC.C\C=C\C=C\C=C\C=C
59	CC.CC.**.CCC*(C)C.C\C=C\B(C)C
60	CC.C[H](C)C.CB\C=C\CC
61	C*.CCC.CCCCCC.CC*(C)CC*(C)(=C[O]=C)B(C)\C=C\C
62	C*C.OCCC1=CC=CC=C1
63	NC(*)=O
64	BCC1=CC=C(CC(*C)C(=*)OC)C=C1
65	[Bh]\C=C/NC(=*)\C=C\*
66	CN\C=C\*
67	C*.CNC(=*)N(C*)\C=C\C
68	C*.C*
69	CC.CC.CC.CS.C[K].C*.C*.C*.CCC.CC*[Y].C*C*.C**=C.C**(C)C.COC(C)(C)C(C)(C)*C.C*C(=*)C(CC1=CC=C(C)C=C1)N*.COC1=CC=C(C=C1)C(\N)=C/NC(=O)C1=CC=CC=C1
70	*C(=*)NC=*
